crime_id,date,time,hour,day_of_week,month,year,latitude,longitude,zone,district,crime_type,crime_severity,weather,is_festival_day,is_weekend,is_night,nearby_police_station_distance_km,population_density,street_lighting,unemployment_index,alcohol_outlet_nearby,crime_occurred
CR000001,2020-09-08,05:16:26,5,Tuesday,9,2020,13.098928,80.294397,North,Washermanpet,Fraud,7,Foggy,0,0,1,4.7,High,Poor,0.08,1,1
CR000002,2020-10-18,12:48:36,12,Sunday,10,2020,13.04143,80.243404,Central,Nungambakkam,Drug-offense,8,Clear,1,1,0,4.14,Very High,Moderate,0.25,1,1
CR000003,2024-12-17,08:01:53,8,Tuesday,12,2024,13.10251,80.172935,West,Ambattur,Robbery,8,Hot,0,0,0,4.75,High,Moderate,0.22,1,1
CR000004,2024-12-05,00:33:30,0,Thursday,12,2024,13.110547,80.231432,North,Perambur,Murder,8,Clear,0,0,1,5.36,Low,Moderate,0.07,1,1
CR000005,2024-08-10,13:38:00,13,Saturday,8,2024,13.02235,80.30418,East,Marina,Theft,6,Foggy,0,1,0,4.65,Low,Good,0.19,1,1
CR000006,2023-08-25,15:43:27,15,Friday,8,2023,13.019509,80.296691,East,Besant Nagar,Eve-teasing,2,Clear,0,0,0,1.67,Medium,Moderate,0.31,1,1
CR000007,2019-11-13,21:29:58,21,Wednesday,11,2019,13.044725,80.065376,West,Porur,Vehicle-theft,5,Rainy,0,0,1,3.14,Low,Good,0.34,0,1
CR000008,2022-06-17,10:13:09,10,Friday,6,2022,13.027229,80.260774,Central,Triplicane,Theft,6,Clear,0,0,0,2.29,Low,Good,0.36,1,1
CR000009,2024-04-02,11:00:33,11,Tuesday,4,2024,12.997749,80.265247,South,Adyar,Kidnapping,8,Hot,0,0,0,0.59,Medium,Good,0.25,1,1
CR000010,2023-08-02,04:59:58,4,Wednesday,8,2023,13.076866,80.267198,Central,Triplicane,Assault,6,Clear,0,0,1,3.04,High,Good,0.15,0,1
CR000011,2020-11-15,08:04:30,8,Sunday,11,2020,13.142159,80.267098,North,Washermanpet,Burglary,6,Clear,1,1,0,2.02,Low,Moderate,0.3,1,1
CR000012,2021-08-14,20:03:15,20,Saturday,8,2021,12.971086,80.276442,East,Thiruvanmiyur,Vehicle-theft,6,Clear,0,1,1,3.37,Medium,Moderate,0.27,1,1
CR000013,2024-02-06,12:19:20,12,Tuesday,2,2024,13.03075,80.26597,East,Marina,Murder,8,Clear,0,0,0,3.88,Medium,Good,0.25,1,1
CR000014,2024-05-05,19:44:09,19,Sunday,5,2024,12.989832,80.218827,South,Velachery,Robbery,7,Clear,0,1,1,5.68,Low,Poor,0.35,0,1
CR000015,2020-12-29,12:36:30,12,Tuesday,12,2020,13.058603,80.230425,Central,Egmore,Assault,8,Hot,0,0,0,3.65,Medium,Moderate,0.19,1,1
CR000016,2019-01-12,01:23:49,1,Saturday,1,2019,13.147083,80.251884,North,Perambur,Assault,5,Hot,0,1,1,1.1,Low,Poor,0.06,1,1
CR000017,2019-07-30,21:22:02,21,Tuesday,7,2019,13.154313,80.310647,North,Tiruvottiyur,Vehicle-theft,4,Rainy,0,0,1,2.83,Medium,Moderate,0.39,0,1
CR000018,2023-08-04,15:35:40,15,Friday,8,2023,12.975952,80.224861,South,Velachery,Assault,8,Foggy,0,0,0,4.58,Medium,Good,0.22,0,1
CR000019,2022-08-03,06:01:59,6,Wednesday,8,2022,13.023505,80.1951,West,K.K. Nagar,Drug-offense,6,Foggy,0,0,0,0.76,Medium,Good,0.1,0,1
CR000020,2023-09-30,09:33:18,9,Saturday,9,2023,12.960018,80.263343,East,Thiruvanmiyur,Vehicle-theft,4,Rainy,0,1,0,1.75,Low,Moderate,0.13,1,1
CR000021,2021-08-03,13:34:47,13,Tuesday,8,2021,13.012808,80.067258,West,Porur,Eve-teasing,3,Foggy,0,0,0,1.8,Low,Moderate,0.23,0,1
CR000022,2019-02-20,08:26:16,8,Wednesday,2,2019,12.909801,80.139969,South,Tambaram,Vehicle-theft,5,Clear,0,0,0,5.77,Low,Poor,0.1,0,1
CR000023,2019-03-23,20:08:47,20,Saturday,3,2019,13.071378,80.304459,Central,Triplicane,Robbery,7,Clear,0,1,1,5.08,High,Moderate,0.07,0,1
